distance,retries,num_repeaters,fidelity,sem,rate,success_fraction
20,30.0,1,0.8383457090687767,0.0002833699272984282,21.635217144040944,0.2607936507936508
20,60.0,1,0.8339220864971937,0.0005642386720908127,37.50796556964511,0.576952380952381
20,90.0,1,0.8292255256241788,0.0008570249142184782,44.76852134994575,0.773079365079365
20,120.0,1,0.8245561343632116,0.001155964596470128,48.20111420468645,0.8836507936507937
40,30.0,1,0.835961851593394,0.0007167056994314639,9.727625040641197,0.13647619047619047
40,60.0,1,0.8245610951808343,0.0015899643453493736,17.334037332197106,0.3432063492063492
40,90.0,1,0.8116957387028798,0.002233753416619698,22.41341478242709,0.5423492063492064
40,120.0,1,0.7990072135392582,0.002813683267634002,25.124273259170245,0.6865396825396826
80,30.0,1,0.8267675544794189,0.0042501950576898,1.5059657262168311,0.026222222222222223
80,60.0,1,0.7966202090592335,0.007578456894429668,3.0110109341897218,0.082
80,90.0,1,0.7604915289688351,0.009095723122031888,4.119293016238631,0.1517777777777778
80,120.0,1,0.7298050551223446,0.009339902629186655,5.12464778252365,0.23612698412698413
120,30.0,1,0.8106349206349206,0.018799635827220856,0.19385966275705452,0.004
120,60.0,1,0.7538975501113587,0.027971152466105393,0.428901852683015,0.014253968253968253
120,90.0,1,0.7073224043715848,0.0284692585037932,0.6284882110526993,0.029047619047619048
120,120.0,1,0.6598290056998101,0.02710885676828673,0.844744426346851,0.050126984126984124
