num_repeaters,distance,init_photon_loss,fidelity,sem,rate,mean_retries,num_success,qfc_eff,coll_eff,fib_loss,F_em_single,w_ms,tau,K
1,50,,0.7950257172,0.005708937312,5.602898366,41.4222,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
1,50,,0.8255449051,0.005366945403,5.611000123,40.8079,5000,0.3,0.69,0.2,0.96,0.99,0.1,91
1,50,,0.8356338164,0.005241181952,5.632761438,41.3051,5000,0.3,0.69,0.2,0.96,0.99,0.15,91
1,50,,0.8393615775,0.005192951371,5.606181178,41.3804,5000,0.3,0.69,0.2,0.96,0.99,0.2,91
1,50,,0.8411858519,0.005168988575,5.530888285,41.0307,5000,0.3,0.69,0.2,0.96,0.99,0.25,91
4,50,,0.5742844088,0.006992593605,4.931605292,37.5682,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
4,50,,0.624817453,0.006847198017,4.892932556,37.4242,5000,0.3,0.69,0.2,0.96,0.99,0.1,91
4,50,,0.6439707602,0.006771593907,5.012677613,37.53116,5000,0.3,0.69,0.2,0.96,0.99,0.15,91
4,50,,0.6512152093,0.006739940066,5.011942306,37.45704,5000,0.3,0.69,0.2,0.96,0.99,0.2,91
4,50,,0.6547597873,0.006723829388,4.866265013,37.4698,5000,0.3,0.69,0.2,0.96,0.99,0.25,91
8,50,,0.4293167295,0.007000055361,2.462894565,35.9008,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
8,50,,0.4698912199,0.007058235776,2.506635881,36.00213333,5000,0.3,0.69,0.2,0.96,0.99,0.1,91
8,50,,0.4867129791,0.007068570649,2.420388799,35.82977778,5000,0.3,0.69,0.2,0.96,0.99,0.15,91
8,50,,0.4928830148,0.007070351455,2.514999226,35.85862222,5000,0.3,0.69,0.2,0.96,0.99,0.2,91
8,50,,0.4958840264,0.007070828223,2.482368003,35.91657778,5000,0.3,0.69,0.2,0.96,0.99,0.25,91
