num_repeaters,distance,init_photon_loss,fidelity,sem,rate,mean_retries,num_success,qfc_eff,coll_eff,fib_loss,F_em_single,w_ms,tau,K
1,50,,0.7935093679,0.005724548034,3.555819236,42.1132,5000,0.3,0.6,0.2,0.96,0.99,0.06,91
1,50,,0.7950588363,0.005708594978,5.813853605,41.0411,5000,0.3,0.7,0.2,0.96,0.99,0.06,91
1,50,,0.7967713515,0.005690813034,8.709058672,40.1809,5000,0.3,0.8,0.2,0.96,0.99,0.06,91
1,50,,0.7997251226,0.005659767679,12.25421657,38.4455,5000,0.3,0.9,0.2,0.96,0.99,0.06,91
4,50,,0.5709036906,0.006999609513,2.087597756,39.19592,5000,0.3,0.6,0.2,0.96,0.99,0.06,91
4,50,,0.5740027506,0.006993190873,5.360796795,37.57832,5000,0.3,0.7,0.2,0.96,0.99,0.06,91
4,50,,0.5804215065,0.006979002526,10.5028383,34.83596,5000,0.3,0.8,0.2,0.96,0.99,0.06,91
4,50,,0.5840094616,0.006970543886,17.46642211,32.64724,5000,0.3,0.9,0.2,0.96,0.99,0.06,91
8,50,,0.4259647314,0.006993122035,0.6286352031,38.2334,5000,0.3,0.6,0.2,0.96,0.99,0.06,91
8,50,,0.4298744508,0.007001177149,2.702533764,35.37404444,5000,0.3,0.7,0.2,0.96,0.99,0.06,91
8,50,,0.4333609767,0.007007984597,7.712716648,32.91591111,5000,0.3,0.8,0.2,0.96,0.99,0.06,91
8,50,,0.4380695274,0.007016617655,15.98204085,30.2908,5000,0.3,0.9,0.2,0.96,0.99,0.06,91
