num_repeaters,distance,init_photon_loss,fidelity,sem,rate,mean_retries,num_success,qfc_eff,coll_eff,fib_loss,F_em_single,w_ms,tau,K
1,50,,0.7945620226,0.00571372409,5.535430146,41.463,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
1,50,,0.82679042,0.005351785148,5.472793989,41.1537,5000,0.3,0.69,0.2,0.97,0.99,0.06,91
1,50,,0.8604052983,0.004901183958,5.596034565,40.9826,5000,0.3,0.69,0.2,0.98,0.99,0.06,91
1,50,,0.8934472303,0.004363468275,5.718824304,41.1363,5000,0.3,0.69,0.2,0.99,0.99,0.06,91
1,50,,0.92945948,0.003621175363,5.635952163,41.0292,5000,0.3,0.69,0.2,1,0.99,0.06,91
4,50,,0.5734536703,0.006994348552,4.919231289,37.71964,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
4,50,,0.6227104277,0.006854810733,4.929174953,37.89668,5000,0.3,0.69,0.2,0.97,0.99,0.06,91
4,50,,0.6790444158,0.006602167783,5.017170262,37.28988,5000,0.3,0.69,0.2,0.98,0.99,0.06,91
4,50,,0.7402456408,0.006201322957,4.999159791,37.53808,5000,0.3,0.69,0.2,0.99,0.99,0.06,91
4,50,,0.8102670241,0.005544986452,4.968439972,37.38756,5000,0.3,0.69,0.2,1,0.99,0.06,91
8,50,,0.429127702,0.006999673098,2.414495521,36.23186667,5000,0.3,0.69,0.2,0.96,0.99,0.06,91
8,50,,0.4806866681,0.007065790758,2.430054694,35.95873333,5000,0.3,0.69,0.2,0.97,0.99,0.06,91
8,50,,0.5461024382,0.007040945465,2.444371921,35.73231111,5000,0.3,0.69,0.2,0.98,0.99,0.06,91
8,50,,0.62700553,0.006839146078,2.445687409,36.04362222,5000,0.3,0.69,0.2,0.99,0.99,0.06,91
8,50,,0.7305765624,0.006274303927,2.516607301,35.86353333,5000,0.3,0.69,0.2,1,0.99,0.06,91
