num_repeaters,distance,init_photon_loss,fidelity,sem,rate,mean_retries,num_success,qfc_eff,coll_eff,fib_loss,F_em_single,w_ms,tau,K
1,50,,0.7295018681,0.006282179439,5.566704582,41.1335,5000,0.3,0.69,0.2,0.96,0.9,0.06,91
1,50,,0.736117964,0.006232949656,5.452874208,41.5029,5000,0.3,0.69,0.2,0.96,0.91,0.06,91
1,50,,0.7439811782,0.006172085299,5.505157066,41.1461,5000,0.3,0.69,0.2,0.96,0.92,0.06,91
1,50,,0.7504117263,0.006120358932,5.497425745,41.4501,5000,0.3,0.69,0.2,0.96,0.93,0.06,91
1,50,,0.7581137257,0.006056026826,5.777986997,41.6088,5000,0.3,0.69,0.2,0.96,0.94,0.06,91
1,50,,0.7663848847,0.005983963456,5.639679999,40.7225,5000,0.3,0.69,0.2,0.96,0.95,0.06,91
4,50,,0.4433183961,0.007025484977,5.034048999,37.37568,5000,0.3,0.69,0.2,0.96,0.9,0.06,91
4,50,,0.4552378382,0.007042674902,4.962809844,37.45432,5000,0.3,0.69,0.2,0.96,0.91,0.06,91
4,50,,0.4665951893,0.007055269217,4.809967515,37.63576,5000,0.3,0.69,0.2,0.96,0.92,0.06,91
4,50,,0.47913556,0.007064908706,4.895235019,37.6928,5000,0.3,0.69,0.2,0.96,0.93,0.06,91
4,50,,0.4929646808,0.007070367802,4.920656287,37.44172,5000,0.3,0.69,0.2,0.96,0.94,0.06,91
4,50,,0.5080868768,0.00707014289,4.964903938,37.46844,5000,0.3,0.69,0.2,0.96,0.95,0.06,91
8,50,,0.313949051,0.006563307769,2.484102637,35.67566667,5000,0.3,0.69,0.2,0.96,0.9,0.06,91
8,50,,0.3213041104,0.006604056012,2.410083491,36.1354,5000,0.3,0.69,0.2,0.96,0.91,0.06,91
8,50,,0.3301760192,0.006650711474,2.461224288,35.76228889,5000,0.3,0.69,0.2,0.96,0.92,0.06,91
8,50,,0.339836415,0.006698471856,2.426848469,36.0776,5000,0.3,0.69,0.2,0.96,0.93,0.06,91
8,50,,0.3506803799,0.00674838723,2.466937332,35.93142222,5000,0.3,0.69,0.2,0.96,0.94,0.06,91
8,50,,0.3628709502,0.006799935643,2.458453068,35.85497778,5000,0.3,0.69,0.2,0.96,0.95,0.06,91
