distance,rate,sem,num_repeaters,fidelity,success_ratio,success_cnt,total_cnt,avg_retries
20,20.45276532022567,0.005360683902293563,1,0.826060332604954,0.3997761253697929,5000,12507,37.7129
20,17.60807165273727,0.006256191153082679,2,0.733024379154736,0.3231644260599793,5000,15472,36.50986666666666
20,14.120804271306064,0.006606213325077377,3,0.6782967400651244,0.2599698434981542,5000,19233,35.5176
20,12.045973409332824,0.006900625658842466,4,0.6091184108325671,0.21392204680614385,5000,23373,35.0854
20,9.686751321080761,0.007003535435158043,5,0.5689380667151915,0.17271157167530224,5000,28950,34.986866666666664
20,7.813530060458418,0.0070671646036315205,6,0.5166109098452989,0.13521187701127668,5000,36979,34.97802857142857
20,6.396659735928487,0.007069061749325463,7,0.4880907632016933,0.11057054400707651,5000,45220,34.61405
20,5.056518925663762,0.007034066211876691,8,0.4489161215776103,0.08523550570225533,5000,58661,34.46624444444444
50,5.599681355732134,0.005702818214504838,1,0.7956168500974856,0.15512052865076165,5000,32233,40.9551
50,6.160551057513623,0.00654236098060695,2,0.6897038850344354,0.14376491560999455,5000,34779,39.443933333333334
50,5.4774368682539984,0.006761216213497574,3,0.6463891272317983,0.12166930283489476,5000,41095,38.2231
50,4.849233969904239,0.00699191981804264,4,0.5746008464450161,0.09977849174831874,5000,50111,37.214319999999994
50,4.186824102231694,0.007044513221087825,5,0.5432916549648333,0.08415100055539661,5000,59417,36.959466666666664
50,3.5709395786228852,0.007069791198748288,6,0.4904993668365616,0.06839664582848858,5000,73103,36.743314285714284
50,2.983040231272484,0.007056765485239676,7,0.46821471359811023,0.0563481867153515,5000,88734,36.16045
50,2.429730499881334,0.007000595103062507,8,0.4295845115412368,0.04423682627313586,5000,113028,35.8962
80,1.4213535596569011,0.006067613423106115,1,0.7567495603476518,0.04944766953133499,5000,101117,43.1531
80,1.8796548618844393,0.006775065261059757,2,0.6431518548322248,0.05225206395652628,5000,95690,41.723866666666666
80,1.903167738962122,0.006901644941382338,3,0.6087956134936421,0.04858850395996307,5000,102905,40.5638
80,1.7906135065890851,0.007050037978947226,4,0.5385333943094635,0.041254125412541254,5000,121200,39.26688
80,1.6641127048242057,0.007067919263714788,5,0.514919330013345,0.036872612498340736,5000,135602,38.5156
80,1.4751973853931986,0.00705320997375687,6,0.46448739195042,0.030732351946894495,5000,162695,38.084314285714285
80,1.2498955868474138,0.007032067080105118,7,0.44755800438094123,0.025443738804754926,5000,196512,37.582675
80,1.083798387689111,0.006956140907302824,8,0.4102196102217128,0.02113378531455526,5000,236588,37.144577777777776
